,food_name,food_type,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,health_score
886,"Candies, HERSHEYS, PAYDAY Bar",Other,2050.0,13.4,25.0,52.9,3.8,40.3,231.0,60
888,"Candies, sesame crunch",Other,2160.0,11.6,33.3,50.3,7.7,31.2,167.0,60
1174,"Cookies, peanut butter, commercially prepared, sugar free",Snacks & Sweets,2190.0,10.3,31.0,50.5,3.4,0.0,448.0,60
1175,"Cookies, sugar wafer, with creme filling, sugar free",Snacks & Sweets,2220.0,3.57,28.6,66.3,14.3,0.0,71.0,60
1297,"Egg, yolk, dried",Dairy,2740.0,34.2,55.5,1.07,,,149.0,60
1683,"Hazelnuts, beaked (Northern Plains Indians)",Other,2630.0,14.9,53.0,23.0,9.8,,2.0,70
1954,"Nuts, almond butter, plain, with salt added",Other,2570.0,21.0,55.5,18.8,10.3,6.27,227.0,60
1955,"Nuts, almond butter, plain, without salt added",Other,2570.0,21.0,55.5,18.8,10.3,4.43,7.0,70
1958,"Nuts, almonds, dry roasted, with salt added",Other,2500.0,21.0,52.5,21.0,10.9,4.86,234.0,70
1959,"Nuts, almonds, dry roasted, with salt added",Other,2590.0,20.4,57.8,16.2,11.0,4.17,256.0,70
1960,"Nuts, almonds, dry roasted, without salt added",Other,2500.0,21.0,52.5,21.0,10.9,4.86,3.0,70
1964,"Nuts, almonds, oil roasted, with salt added, smoke flavor",Other,2540.0,21.4,55.9,17.9,10.7,3.57,548.0,60
1965,"Nuts, almonds, oil roasted, without salt added",Other,2540.0,21.2,55.2,17.7,10.5,4.55,1.0,70
1967,"Nuts, brazilnuts, dried, unblanched",Other,2760.0,14.3,67.1,11.7,7.5,2.33,3.0,60
1971,"Nuts, cashew nuts, oil roasted, without salt added",Other,2430.0,16.8,47.8,29.9,3.3,5.01,13.0,60
1980,"Nuts, hazelnuts or filberts",Other,2630.0,15.0,60.8,16.7,9.7,4.34,0.0,70
1986,"Nuts, mixed nuts, dry roasted, with peanuts, salt added, CHOSEN ROASTER",Other,2540.0,18.0,53.2,24.6,7.1,3.9,113.0,60
1993,"Nuts, mixed nuts, oil roasted, without peanuts, lightly salted",Other,2540.0,17.9,50.0,25.0,7.1,5.21,143.0,60
1999,"Nuts, pistachio nuts, dry roasted, with salt added",Other,2380.0,21.0,45.8,27.6,10.3,7.74,428.0,60
2001,"Nuts, pistachio nuts, raw",Other,2340.0,20.2,45.3,27.2,10.6,7.66,1.0,60
2004,"Nuts, walnuts, english",Other,2740.0,15.2,65.2,13.7,6.7,2.61,2.0,60
2061,"Peanut butter, chunk style, with salt",Other,2460.0,24.1,49.9,21.6,8.0,8.41,486.0,60
2062,"Peanut butter, chunk style, without salt",Other,2460.0,24.1,49.9,21.6,8.0,8.41,17.0,60
2066,"Peanut Butter, smooth (Includes foods for USDA's Food Distribution Program)",Other,2460.0,21.9,49.5,24.0,5.7,6.5,476.0,60
2069,"Peanut butter, smooth, vitamin and mineral fortified",Other,2470.0,25.7,50.8,18.8,5.6,10.5,420.0,60
2074,"Peanuts, all types, dry-roasted, with salt",Other,2460.0,24.4,49.7,21.3,8.4,4.9,410.0,60
2082,"Peanuts, spanish, raw",Other,2390.0,26.2,49.6,15.8,9.5,,22.0,60
2138,"Pinon Nuts, roasted (Navajo)",Other,2260.0,7.41,34.1,51.1,43.4,,310.0,60
2311,"Potato chips, without salt, reduced fat",Snacks & Sweets,2040.0,7.1,20.8,67.8,6.1,0.22,8.0,65
2446,"Seeds, flaxseed",Other,2230.0,18.3,42.2,28.9,27.3,1.55,30.0,70
2449,"Seeds, pumpkin and squash seed kernels, dried",Other,2340.0,30.2,49.0,10.7,6.0,1.4,7.0,60
2457,"Seeds, sesame butter, paste",Other,2450.0,18.1,50.9,24.0,5.5,,12.0,60
2473,"Seeds, sunflower seed kernels, dry roasted, without salt",Other,2440.0,19.3,49.8,24.1,11.1,2.73,3.0,60
2490,"Snacks, corn-based, extruded, chips, unsalted",Snacks & Sweets,2330.0,6.6,33.4,57.4,4.4,1.41,15.0,60
2502,"Snacks, oriental mix, rice-based",Grains,2120.0,17.3,25.6,51.6,13.2,3.0,413.0,70
2522,"Snacks, tortilla chips, unsalted, white corn",Snacks & Sweets,2100.0,7.79,23.4,65.3,5.3,1.0,15.0,60
3021,0.34OZ LM UNPUFF APPLE CRISPS APPLE FLAVOR,Fruits,11800.0,0.0,0.0,2940.0,588.0,0.0,0.0,60
